query,golden,conversation_id,turn
What is the capital of France?,Paris.,conv-france,1
What river runs through it?,The Seine.,conv-france,2
What is its population?,About 2.1 million in the city proper.,conv-france,3
What is the tallest mountain on Earth?,Mount Everest.,conv-everest,1
How tall is it?,"8,849 metres (29,032 feet).",conv-everest,2
Which two countries does it border?,Nepal and China.,conv-everest,3
Who wrote Hamlet?,William Shakespeare.,,
What is the boiling point of water at sea level?,100°C (212°F).,,
Who painted the Mona Lisa? Please answer in a single sentence.,The Mona Lisa was painted by Leonardo da Vinci.,,
Who developed the theory of general relativity? Answer briefly.,Albert Einstein developed general relativity.,,
What is the chemical symbol for gold? A single word answer please.,Au.,,
What gas do plants absorb during photosynthesis?,Carbon dioxide.,,
Provide me the exact number of metres in a mile?,"1,609 metres.",,
What is the largest planet in the solar system? A single word answer please.,Jupiter.,,
What is the chemical symbol for sodium? A single word answer please.,Na.,,
In which year did the Apollo 11 moon landing take place? Answer with the year only.,1969.,,
How many bones are in the adult human body? A single number please.,206.,,
Who discovered penicillin? Please answer in a single sentence.,Penicillin was discovered by Alexander Fleming.,,
Which is the largest ocean on Earth? Please answer in a single sentence.,The Pacific Ocean is the largest ocean on Earth.,,
What does DNA stand for? Please answer in a single sentence.,DNA stands for deoxyribonucleic acid.,,
Name the process by which plants convert sunlight into energy. A single word answer please.,Photosynthesis.,,
