query,golden,conversation_id,turn,expected_sources,bug,check
Hi,A greeting and a short offer of help.,conv-b17-hydration,1,,17,answer
Summarise the key action items from the Project Meridian Steering Committee minutes of 12 August 2026.,"Six action items. AM-01 Tomas Rehnqvist re-baselines the DC-7 throughput model against 1,180 cartons per hour, due 26 August 2026. AM-02 Ellery Dunmore submits the $312,000 capex variance paper to the Investment Council, due 2 September 2026. AM-03 Wanjiru Kamande confirms whether the store systems cutover can be decoupled from the DC-7 go-live, due 29 August 2026. AM-04 Callum Vasey obtains written confirmation from Kestrelworks on the 4.5% service credit, due 19 August 2026. AM-05 Nadia Osei-Bright circulates the revised go / no-go criteria, due 5 September 2026. AM-06 Anselm Bergkamp nominates a second-source supplier assessment lead for risk R-114, no date agreed.",conv-b17-hydration,2,Project Meridian Steering Committee,17,answer+sources
"Of those, which is due first and who owns it?","AM-04, due 19 August 2026, owned by Callum Vasey: obtain written confirmation from Kestrelworks on the 4.5% service credit.",conv-b17-hydration,3,Project Meridian Steering Committee,17,answer+sources
Summarise the key action items from the Project Meridian Steering Committee minutes of 12 August 2026.,"Six action items. AM-01 Tomas Rehnqvist re-baselines the DC-7 throughput model against 1,180 cartons per hour, due 26 August 2026. AM-02 Ellery Dunmore submits the $312,000 capex variance paper to the Investment Council, due 2 September 2026. AM-03 Wanjiru Kamande confirms whether the store systems cutover can be decoupled from the DC-7 go-live, due 29 August 2026. AM-04 Callum Vasey obtains written confirmation from Kestrelworks on the 4.5% service credit, due 19 August 2026. AM-05 Nadia Osei-Bright circulates the revised go / no-go criteria, due 5 September 2026. AM-06 Anselm Bergkamp nominates a second-source supplier assessment lead for risk R-114, no date agreed.",conv-b17-control,1,Project Meridian Steering Committee,17,answer+sources
"Of those, which is due first and who owns it?","AM-04, due 19 August 2026, owned by Callum Vasey: obtain written confirmation from Kestrelworks on the 4.5% service credit.",conv-b17-control,2,Project Meridian Steering Committee,17,answer+sources
"Using the Project Meridian Steering Committee minutes of 12 August 2026, what were the two formal decisions recorded?","Two decisions. D-1: phase 2 at Dandenong South is deferred to FY27. D-2: contingency is held at $180,000 and is not to be drawn down to absorb the current variance without a further paper to the committee.",conv-b30-persistent,1,Project Meridian Steering Committee,30,answer+sources
What throughput did the DC-7 conveyor actually achieve against target?,"1,180 cartons per hour against a design target of 1,450 cartons per hour.",conv-b30-persistent,2,Project Meridian Steering Committee,30,answer+sources
Who owns the capex variance paper and when is it due?,"Ellery Dunmore, due 2 September 2026.",conv-b30-persistent,3,Project Meridian Steering Committee,30,answer+sources
And what is the go / no-go date?,9 October 2026.,conv-b30-persistent,4,Project Meridian Steering Committee,30,answer+sources
Read the Project Meridian Steering Committee minutes of 12 August 2026 and tell me who chaired the meeting.,"Nadia Osei-Bright, Program Director.",conv-b30-interrupted,1,Project Meridian Steering Committee,30,answer+sources
What makes a good structure for a steering committee update email?,"A short structure: purpose, status against plan, decisions needed, risks, actions with owners and dates, and the next milestone.",conv-b30-interrupted,2,,30,answer
"Back to those minutes — what was risk R-114 about, and how was it rated?","R-114 is the single-source dependency on Kestrelworks for induction-lane drive units. It is rated High, with a 14-week lead time on a replacement unit.",conv-b30-interrupted,3,Project Meridian Steering Committee,30,answer+sources
I have an external meeting with Kestrelworks coming up. Pull up what is in my calendar for it and tell me when it is and who is attending.,The meeting time and the full attendee list for the Kestrelworks meeting.,conv-b7-transfer,1,,7,latency+answer
"Now go through the Project Meridian Steering Committee minutes of 12 August 2026 and the Harbourline Group Strategy FY26 to FY28, and build me a one-page prep brief: their open action items, the strategy pillars the programme maps to, and the three risks I should be ready to discuss.","A prep brief drawing on both documents. Action items AM-01 to AM-06 with owners and due dates. The three pillars: win the weekly shop, own the last eight kilometres, earn the licence to automate. The three risks: R-114 single-source conveyor dependency, R-118 store systems cutover coupling, and R-121 the peak-season freeze from 3 November 2026.",conv-b7-transfer,2,Project Meridian Steering Committee;Harbourline Group Strategy FY26 to FY28,7,latency+answer+sources
Turn the action items into a table with a column for reference number owner action and due date.,"A six-row table listing AM-01 to AM-06 with reference, owner, action and due date, with no agreed date shown against AM-06.",conv-b7-transfer,3,Project Meridian Steering Committee,7,latency+answer
What percentage of the $96 million programme envelope does the $312000 capex variance represent?,"About 0.325%: $312,000 against a $96,000,000 envelope.",conv-b7-transfer,4,,7,latency+answer+trace
The Meridian Program Quarterly Review has a large invite list. List every attendee.,"All 24 invitees, from Nadia Osei-Bright through to Dev Marchetti-Sundaram.",conv-b13-directory,1,Meridian Program Quarterly Review Attendees,13,latency+answer+sources
"Enrich that list: for each attendee give their role, their site and their cost centre.","All 24 attendees with role, site and cost centre, spanning eight sites from Melbourne CBD and Truganina to Bengaluru and Auckland.",conv-b13-directory,2,Meridian Program Quarterly Review Attendees,13,latency+answer+sources
How many of them sit outside the Victorian sites?,"10 of the 24. The other 14 are at the Victorian sites: Melbourne CBD, Truganina and Dandenong South.",conv-b13-directory,3,Meridian Program Quarterly Review Attendees,13,latency+answer
Who on that list is external to Harbourline?,"One: Dev Marchetti-Sundaram, Kestrelworks Engagement Lead, cost centre CC-EXT-01.",conv-b13-directory,4,Meridian Program Quarterly Review Attendees,13,latency+answer
Read the Project Meridian Steering Committee minutes of 12 August 2026 and extract every action item with its owner its due date and the decision or risk it traces back to.,"AM-01 to AM-06 with owners and due dates, each traced to its origin: AM-01 and AM-04 to the throughput shortfall, AM-02 to the $312,000 variance and decision D-2, AM-03 to risk R-118, AM-05 to the 9 October go / no-go, and AM-06 to risk R-114.",conv-b14-reasoning,1,Project Meridian Steering Committee,14,latency+answer+sources
"Now re-check the same minutes and tell me which action items have no explicit due date, which are owned by someone who was not present at the meeting, and which two are on the critical path to the 9 October go / no-go.","AM-06 has no agreed due date, and is owned by Anselm Bergkamp, who was an apology. The two on the critical path to 9 October are AM-01, the throughput re-baseline, and AM-05, the revised go / no-go criteria.",conv-b14-reasoning,2,Project Meridian Steering Committee,14,latency+answer+sources
"Give me that same analysis again, this time ordered by risk to the go / no-go date, with a one-line justification for each item.","The same six items reordered by risk to the 9 October decision, with a one-line justification against each.",conv-b14-reasoning,3,Project Meridian Steering Committee,14,latency+answer+sources
"Cross-check that against the Harbourline Board Update H2 FY26 v4 FINAL: does anything in the board pack contradict the minutes?","No contradiction. Both record 1,180 cartons per hour against a 1,450 target, phase 2 deferred, and a 9 October 2026 go / no-go. The board pack adds programme spend of $41.3m against the $96.0m envelope, which the minutes do not state.",conv-b14-reasoning,4,Project Meridian Steering Committee;H2 FY26 v4 FINAL,14,latency+answer+sources
Create a five-slide Canvas deck on the Project Meridian DC-7 pilot. Slide 1 a title slide slides 2 to 4 the throughput capital and risk position and slide 5 next steps.,"A five-slide deck: a title slide, then throughput at 1,180 against 1,450 cartons per hour, the capital position with the $312,000 variance and $180,000 contingency, the risks, and next steps.",conv-b45-slides,1,Project Meridian Steering Committee,45,answer
"Add a slide after slide 3 covering the $312,000 capex variance, and update slide 5 to include the 9 October 2026 go / no-go date.","A six-slide deck. A new slide on the $312,000 capex variance sits after slide 3, the final slide now names 9 October 2026, and the slides created on the previous turn are all still present.",conv-b45-slides,2,Project Meridian Steering Committee,45,answer
